"year","month","time","sunspots","sd","no","final","ts"
1755,6,"1755-6-15 00:00:00",0,-1,-1,1,1755.46
1755,7,"1755-7-15 00:00:00",14.3,-1,-1,1,1755.54
1755,8,"1755-8-15 00:00:00",5.3,-1,-1,1,1755.62
1755,9,"1755-9-15 00:00:00",29.7,-1,-1,1,1755.71
1755,10,"1755-10-15 00:00:00",39.5,-1,-1,1,1755.79
1755,11,"1755-11-15 00:00:00",11.3,-1,-1,1,1755.88
1755,12,"1755-12-15 00:00:00",33.3,-1,-1,1,1755.96
1756,1,"1756-1-15 00:00:00",20.8,-1,-1,1,1756.04
1756,2,"1756-2-15 00:00:00",11.8,-1,-1,1,1756.12
1756,3,"1756-3-15 00:00:00",9,-1,-1,1,1756.21
1756,4,"1756-4-15 00:00:00",15.7,-1,-1,1,1756.29
1756,5,"1756-5-15 00:00:00",20.8,-1,-1,1,1756.38
1756,6,"1756-6-15 00:00:00",21.5,-1,-1,1,1756.46
1756,7,"1756-7-15 00:00:00",6,-1,-1,1,1756.54
1756,8,"1756-8-15 00:00:00",10.7,-1,-1,1,1756.62
1756,9,"1756-9-15 00:00:00",19.7,-1,-1,1,1756.71
1756,10,"1756-10-15 00:00:00",23.8,-1,-1,1,1756.79
1756,11,"1756-11-15 00:00:00",28.3,-1,-1,1,1756.88
1756,12,"1756-12-15 00:00:00",15.7,-1,-1,1,1756.96
1757,1,"1757-1-15 00:00:00",23.5,-1,-1,1,1757.04
1757,2,"1757-2-15 00:00:00",35.3,-1,-1,1,1757.12
1757,3,"1757-3-15 00:00:00",43.7,-1,-1,1,1757.21
1757,4,"1757-4-15 00:00:00",50,-1,-1,1,1757.29
1757,5,"1757-5-15 00:00:00",63.5,-1,-1,1,1757.38
1757,6,"1757-6-15 00:00:00",21.3,-1,-1,1,1757.46
1757,7,"1757-7-15 00:00:00",41.7,-1,-1,1,1757.54
1757,8,"1757-8-15 00:00:00",85.5,-1,-1,1,1757.62
1757,9,"1757-9-15 00:00:00",66.2,-1,-1,1,1757.71
1757,10,"1757-10-15 00:00:00",54.2,-1,-1,1,1757.79
1757,11,"1757-11-15 00:00:00",107.8,-1,-1,1,1757.88
1757,12,"1757-12-15 00:00:00",55.8,-1,-1,1,1757.96
1758,1,"1758-1-15 00:00:00",62.7,-1,-1,1,1758.04
1758,2,"1758-2-15 00:00:00",86.7,-1,-1,1,1758.12
1758,3,"1758-3-15 00:00:00",81.7,-1,-1,1,1758.21
1758,4,"1758-4-15 00:00:00",120.5,-1,-1,1,1758.29
1758,5,"1758-5-15 00:00:00",77.3,-1,-1,1,1758.38
1758,6,"1758-6-15 00:00:00",75,-1,-1,1,1758.46
1758,7,"1758-7-15 00:00:00",73.3,-1,-1,1,1758.54
1758,8,"1758-8-15 00:00:00",64.5,-1,-1,1,1758.62
1758,9,"1758-9-15 00:00:00",104.2,-1,-1,1,1758.71
1758,10,"1758-10-15 00:00:00",62.8,-1,-1,1,1758.79
1758,11,"1758-11-15 00:00:00",71.7,-1,-1,1,1758.88
1758,12,"1758-12-15 00:00:00",71.7,-1,-1,1,1758.96
1759,1,"1759-1-15 00:00:00",80.5,-1,-1,1,1759.04
1759,2,"1759-2-15 00:00:00",73.3,-1,-1,1,1759.12
1759,3,"1759-3-15 00:00:00",78,-1,-1,1,1759.21
1759,4,"1759-4-15 00:00:00",78.3,-1,-1,1,1759.29
1759,5,"1759-5-15 00:00:00",81.7,-1,-1,1,1759.38
1759,6,"1759-6-15 00:00:00",83.3,-1,-1,1,1759.46
1759,7,"1759-7-15 00:00:00",85,-1,-1,1,1759.54
1759,8,"1759-8-15 00:00:00",118.8,-1,-1,1,1759.62
1759,9,"1759-9-15 00:00:00",128.7,-1,-1,1,1759.71
1759,10,"1759-10-15 00:00:00",99.5,-1,-1,1,1759.79
1759,11,"1759-11-15 00:00:00",77.2,-1,-1,1,1759.88
1759,12,"1759-12-15 00:00:00",95,-1,-1,1,1759.96
1760,1,"1760-1-15 00:00:00",112.2,-1,-1,1,1760.04
1760,2,"1760-2-15 00:00:00",99.2,-1,-1,1,1760.12
1760,3,"1760-3-15 00:00:00",124.5,-1,-1,1,1760.21
1760,4,"1760-4-15 00:00:00",97.2,-1,-1,1,1760.29
1760,5,"1760-5-15 00:00:00",120,-1,-1,1,1760.38
1760,6,"1760-6-15 00:00:00",80.5,-1,-1,1,1760.46
1760,7,"1760-7-15 00:00:00",110,-1,-1,1,1760.54
1760,8,"1760-8-15 00:00:00",126,-1,-1,1,1760.62
1760,9,"1760-9-15 00:00:00",102.2,-1,-1,1,1760.71
1760,10,"1760-10-15 00:00:00",84.3,-1,-1,1,1760.79
1760,11,"1760-11-15 00:00:00",99.5,-1,-1,1,1760.88
1760,12,"1760-12-15 00:00:00",101.7,-1,-1,1,1760.96
1761,1,"1761-1-15 00:00:00",116.7,-1,-1,1,1761.04
1761,2,"1761-2-15 00:00:00",151.7,-1,-1,1,1761.12
1761,3,"1761-3-15 00:00:00",134.5,-1,-1,1,1761.21
1761,4,"1761-4-15 00:00:00",119.5,-1,-1,1,1761.29
1761,5,"1761-5-15 00:00:00",178.7,-1,-1,1,1761.38
1761,6,"1761-6-15 00:00:00",165.5,-1,-1,1,1761.46
1761,7,"1761-7-15 00:00:00",156.8,-1,-1,1,1761.54
1761,8,"1761-8-15 00:00:00",151.8,-1,-1,1,1761.62
1761,9,"1761-9-15 00:00:00",167.8,-1,-1,1,1761.71
1761,10,"1761-10-15 00:00:00",147.8,-1,-1,1,1761.79
1761,11,"1761-11-15 00:00:00",149.5,-1,-1,1,1761.88
1761,12,"1761-12-15 00:00:00",76.7,-1,-1,1,1761.96
1762,1,"1762-1-15 00:00:00",73,-1,-1,1,1762.04
